Timestamp;ColdStartValue
05,08,2025  18:28:08;235,89
05,08,2025  19:28:08;232
05,08,2025  20:28:07;241,71
05,08,2025  21:28:08;239,57
05,08,2025  22:28:07;245,65
05,08,2025  23:28:08;319,32
05,08,2025  23:28:40;319,32
05,09,2025  00:28:08;256,38
05,09,2025  01:28:08;235,29
05,09,2025  02:28:08;240,29
05,09,2025  03:28:08;240,91
05,09,2025  04:28:08;257,49
05,09,2025  05:28:08;241,81
05,09,2025  06:28:08;195,7
05,09,2025  07:28:08;237,73
05,09,2025  08:28:08;228,28
05,09,2025  08:28:40;228,28
05,09,2025  09:28:08;242,1
05,09,2025  10:28:08;234,97
05,09,2025  11:28:08;239,95
05,09,2025  12:28:07;257,49
05,09,2025  13:28:08;246,56
05,09,2025  14:28:08;242,29
05,09,2025  15:28:08;231,76
05,09,2025  16:28:08;232,22
05,09,2025  17:28:08;235,25
05,09,2025  18:28:08;194,34
05,09,2025  19:28:08;240,61
05,09,2025  19:28:40;240,61
05,09,2025  20:28:09;232,66
05,09,2025  21:28:08;216,62
05,09,2025  22:28:08;234,37
05,09,2025  23:28:08;192,99
05,10,2025  00:28:08;208,27
05,10,2025  01:28:08;238,55
05,10,2025  02:28:07;190,24
05,10,2025  03:28:08;247,64
05,10,2025  04:28:08;199,99
05,10,2025  05:28:08;241,85
05,10,2025  06:28:08;236,8
05,10,2025  07:28:08;231,96
05,10,2025  08:28:08;225,4
05,10,2025  09:28:08;201,54
05,10,2025  10:28:08;203,05
05,10,2025  11:28:08;192,16
05,10,2025  12:28:08;235,66
05,10,2025  13:28:08;247,93
05,10,2025  14:28:08;239,04
05,10,2025  15:28:08;193,77
05,10,2025  16:28:08;195,92
05,10,2025  17:28:08;236,01
05,10,2025  18:28:07;236,39
05,10,2025  19:28:08;194,44
05,10,2025  20:28:08;240,76
05,10,2025  21:28:08;190,24
05,10,2025  22:28:07;237,71
05,10,2025  23:28:08;237,14
05,11,2025  00:28:08;246,81
05,11,2025  01:28:08;232,14
05,11,2025  02:28:08;496,89
05,11,2025  03:28:08;235
05,11,2025  04:28:07;228,94
05,11,2025  05:28:08;196,61
05,11,2025  06:28:08;306,67
05,11,2025  07:28:07;229,72
05,11,2025  08:28:08;240,15
05,11,2025  09:28:08;231,85
05,11,2025  10:28:08;199,73
05,11,2025  10:28:37;199,73
05,11,2025  11:28:08;227,78
05,11,2025  12:28:08;249,13
05,11,2025  13:28:08;183,86
05,11,2025  14:28:08;237,78
05,11,2025  15:28:08;184,01
05,11,2025  16:28:08;244,47
05,11,2025  17:28:08;246,05
05,11,2025  18:28:08;233,54
05,11,2025  19:28:08;224,53
05,11,2025  20:28:08;236,26
05,11,2025  21:28:08;239,81
05,11,2025  22:28:08;190,69
05,11,2025  23:28:08;247,91
05,12,2025  00:28:08;244,46
05,12,2025  01:28:08;197,96
05,12,2025  02:28:08;248,71
05,12,2025  03:28:09;246,37
05,12,2025  04:28:08;242,11
05,12,2025  05:28:08;231,53
05,12,2025  06:28:08;249,91
05,12,2025  07:28:08;242,53
05,12,2025  08:28:07;243,95
05,12,2025  09:28:08;235,84
05,12,2025  10:28:08;244,89
05,12,2025  11:28:08;248,53
05,12,2025  12:28:08;191,54
05,12,2025  13:28:08;236,22
05,12,2025  14:28:08;242,42
05,12,2025  15:28:07;245,1
05,12,2025  16:28:07;233,48
05,12,2025  17:28:07;200,31
05,12,2025  18:28:08;232,65
05,12,2025  19:28:08;202,56
05,12,2025  20:28:08;294,16
05,12,2025  21:28:07;282,81
05,12,2025  22:28:08;242,1
05,12,2025  23:28:08;195,68
5/13/2025 12:28:08 AM;237,15
5/13/2025 1:28:08 AM;231,56
