Timestamp;ColdStartValue
05,08,2025  18:28:08;563,61
05,08,2025  19:28:08;563,26
05,08,2025  20:28:08;571,83
05,08,2025  21:28:09;560,42
05,08,2025  22:28:08;561,2
05,08,2025  23:28:09;574
05,08,2025  23:28:41;574
05,09,2025  00:28:08;458,67
05,09,2025  01:28:08;459,6
05,09,2025  02:28:09;477,68
05,09,2025  03:28:08;457,47
05,09,2025  04:28:09;568,84
05,09,2025  05:28:08;556,5
05,09,2025  06:28:09;554,72
05,09,2025  07:28:08;562,76
05,09,2025  08:28:09;454,56
05,09,2025  08:28:41;454,56
05,09,2025  09:28:09;565,1
05,09,2025  10:28:08;448,91
05,09,2025  11:28:09;455,09
05,09,2025  12:28:08;456,58
05,09,2025  13:28:09;565,63
05,09,2025  14:28:09;553,7
05,09,2025  15:28:08;547,22
05,09,2025  16:28:09;451,57
05,09,2025  17:28:09;466,51
05,09,2025  18:28:08;537,08
05,09,2025  19:28:41;566,13
05,09,2025  20:28:09;552,75
05,09,2025  21:28:09;475,27
05,09,2025  22:28:09;476,66
05,09,2025  23:28:09;455,1
05,10,2025  00:28:09;534,29
05,10,2025  01:28:09;551,82
05,10,2025  02:28:08;552,24
05,10,2025  03:28:09;560,96
05,10,2025  04:28:08;463,53
05,10,2025  05:28:09;468,42
05,10,2025  06:28:09;557,29
05,10,2025  07:28:08;460,4
05,10,2025  08:28:09;571,03
05,10,2025  09:28:08;480,39
05,10,2025  10:28:09;477,08
05,10,2025  11:28:08;552,4
05,10,2025  12:28:09;562,78
05,10,2025  13:28:09;557,32
05,10,2025  14:28:09;555,92
05,10,2025  15:28:08;568,02
05,10,2025  16:28:09;543,39
05,10,2025  17:28:08;568,73
05,10,2025  18:28:08;571,81
05,10,2025  19:28:09;554,7
05,10,2025  20:28:09;593,45
05,10,2025  21:28:09;455,74
05,10,2025  22:28:08;563,21
05,10,2025  23:28:09;461,76
05,11,2025  00:28:09;555,57
05,11,2025  01:28:09;567,88
05,11,2025  02:28:09;562,18
05,11,2025  03:28:09;573,99
05,11,2025  04:28:08;569,45
05,11,2025  05:28:09;548,78
05,11,2025  06:28:09;555,24
05,11,2025  07:28:08;549,37
05,11,2025  08:28:08;451,35
05,11,2025  09:28:08;567,09
05,11,2025  10:28:09;556,34
05,11,2025  10:28:38;556,34
05,11,2025  11:28:08;568,98
05,11,2025  12:28:09;557,76
05,11,2025  13:28:09;570,66
05,11,2025  14:28:08;460,25
05,11,2025  15:28:08;541,87
05,11,2025  16:28:09;560,25
05,11,2025  17:28:09;456,4
05,11,2025  18:28:08;542,51
05,11,2025  19:28:08;541,24
05,11,2025  20:28:09;548,29
05,11,2025  21:28:09;559,25
05,11,2025  22:28:08;570,05
05,11,2025  23:28:09;559,94
05,12,2025  00:28:08;559,51
05,12,2025  01:28:09;567,95
05,12,2025  02:28:08;537,34
05,12,2025  03:28:09;564,69
05,12,2025  04:28:09;561,55
05,12,2025  05:28:08;444,15
05,12,2025  06:28:09;557,51
05,12,2025  07:28:09;556,92
05,12,2025  08:28:08;574,98
05,12,2025  09:28:09;557,56
05,12,2025  10:28:08;555,38
05,12,2025  11:28:08;556,07
05,12,2025  12:28:09;465,93
05,12,2025  13:28:08;562,77
05,12,2025  14:28:08;584,06
05,12,2025  15:28:08;564,14
05,12,2025  16:28:08;562,4
05,12,2025  17:28:08;564,28
05,12,2025  18:28:09;450,87
05,12,2025  19:28:09;584,15
05,12,2025  20:28:08;557,91
05,12,2025  21:28:08;472,25
05,12,2025  22:28:08;541,1
05,12,2025  23:28:09;551,81
5/13/2025 12:28:08 AM;443,56
5/13/2025 1:28:09 AM;547,03
5/13/2025 2:28:09 AM;563,48
5/13/2025 3:28:09 AM;569,08
5/13/2025 4:28:09 AM;545,16
5/13/2025 5:28:09 AM;550,52
5/13/2025 6:28:09 AM;486,94
5/13/2025 7:28:12 AM;473,29
5/13/2025 7:28:38 AM;473,29
5/13/2025 8:28:08 AM;453,45
5/13/2025 9:28:09 AM;541,12
5/13/2025 10:28:09 AM;448,87
5/13/2025 11:28:08 AM;560,38
5/13/2025 12:28:08 PM;447,37
5/13/2025 12:28:38 PM;447,37
5/13/2025 1:28:08 PM;575,07
5/13/2025 2:28:09 PM;475,19
5/13/2025 3:28:09 PM;566,38
5/13/2025 4:28:09 PM;575,55
5/13/2025 5:28:08 PM;562,71
5/13/2025 6:28:09 PM;453,74
5/13/2025 7:28:08 PM;450,28
5/13/2025 8:28:09 PM;573,76
5/13/2025 9:28:09 PM;486,05
5/13/2025 10:28:08 PM;559,9
5/13/2025 11:28:09 PM;567,36
5/14/2025 12:28:09 AM;560,54
5/14/2025 1:28:09 AM;554,75
5/14/2025 2:28:08 AM;467,68
5/14/2025 3:28:08 AM;556,17
5/14/2025 4:28:09 AM;558,17
5/14/2025 4:28:38 AM;558,17
5/14/2025 5:28:09 AM;582,6
5/14/2025 6:28:09 AM;556,24
5/14/2025 7:28:09 AM;556,11
5/14/2025 8:28:09 AM;568,9
5/14/2025 9:28:09 AM;548,18
5/14/2025 9:28:38 AM;548,18
5/14/2025 10:28:09 AM;552,28
5/14/2025 11:28:09 AM;455,09
5/14/2025 12:28:08 PM;557,25
5/14/2025 12:28:38 PM;557,25
5/14/2025 1:28:09 PM;562,43
5/14/2025 2:28:09 PM;542,57
5/14/2025 3:28:09 PM;574,13
5/14/2025 4:28:08 PM;546,14
5/14/2025 5:28:08 PM;567,88
5/14/2025 6:28:09 PM;564,16
5/14/2025 7:28:09 PM;554,54
5/14/2025 8:28:09 PM;558,29
