Timestamp;ColdStartValue
05,08,2025  18:28:09;172,24
05,08,2025  19:28:09;168,81
05,08,2025  20:28:09;172,46
05,08,2025  21:28:09;176,58
05,08,2025  22:28:09;171,76
05,08,2025  23:28:09;174,98
05,08,2025  23:28:41;174,98
05,09,2025  00:28:09;133,62
05,09,2025  01:28:09;173,93
05,09,2025  02:28:10;166,95
05,09,2025  03:28:09;173,78
05,09,2025  04:28:09;204,56
05,09,2025  05:28:09;168,53
05,09,2025  06:28:09;171,67
05,09,2025  07:28:09;171,56
05,09,2025  08:28:09;173,82
05,09,2025  08:28:41;173,82
05,09,2025  09:28:10;175,62
05,09,2025  10:28:09;177,09
05,09,2025  11:28:10;172,69
05,09,2025  12:28:09;168,42
05,09,2025  13:28:09;168,45
05,09,2025  14:28:09;173,69
05,09,2025  15:28:09;172,38
05,09,2025  16:28:09;173,54
05,09,2025  17:28:10;171,19
05,09,2025  18:28:09;235,16
05,09,2025  19:28:41;169,02
05,09,2025  20:28:10;168,88
05,09,2025  21:28:09;168,84
05,09,2025  22:28:09;171,47
05,09,2025  23:28:09;172,12
05,10,2025  00:28:09;176,01
05,10,2025  01:28:10;170,75
05,10,2025  02:28:09;191,48
05,10,2025  03:28:09;172,8
05,10,2025  04:28:09;175,34
05,10,2025  05:28:09;177,15
05,10,2025  06:28:09;169,95
05,10,2025  07:28:09;168,14
05,10,2025  08:28:09;166,83
05,10,2025  09:28:09;169,03
05,10,2025  10:28:09;170,71
05,10,2025  11:28:09;171,89
05,10,2025  12:28:09;170,46
05,10,2025  13:28:09;168,94
05,10,2025  14:28:10;174,29
05,10,2025  15:28:09;172,83
05,10,2025  16:28:09;165,76
05,10,2025  17:28:09;178,25
05,10,2025  18:28:09;172,88
05,10,2025  19:28:09;167,63
05,10,2025  20:28:09;171,99
05,10,2025  21:28:09;173,55
05,10,2025  22:28:09;172,36
05,10,2025  23:28:09;172,33
05,11,2025  00:28:09;151,31
05,11,2025  01:28:10;172,78
05,11,2025  02:28:09;172,1
05,11,2025  03:28:09;171,25
05,11,2025  04:28:09;169,89
05,11,2025  05:28:09;177,31
05,11,2025  06:28:09;165,91
05,11,2025  07:28:08;175,39
05,11,2025  08:28:09;167,34
05,11,2025  09:28:09;176,16
05,11,2025  10:28:09;170,96
05,11,2025  10:28:38;170,96
05,11,2025  11:28:09;170,43
05,11,2025  12:28:09;174,11
05,11,2025  13:28:09;171,05
05,11,2025  14:28:09;170,13
05,11,2025  15:28:09;168,47
05,11,2025  16:28:09;169,3
05,11,2025  17:28:09;167,67
05,11,2025  18:28:09;133,92
05,11,2025  19:28:09;161,33
05,11,2025  20:28:09;172,43
05,11,2025  21:28:09;173,02
05,11,2025  22:28:09;177,19
05,11,2025  23:28:09;181,19
05,12,2025  00:28:09;170,91
05,12,2025  01:28:10;171,12
05,12,2025  02:28:09;168,31
05,12,2025  03:28:10;175,16
05,12,2025  04:28:09;174,55
05,12,2025  05:28:09;175,94
05,12,2025  06:28:10;178,59
05,12,2025  07:28:09;168,4
05,12,2025  08:28:09;171,78
05,12,2025  09:28:10;169,55
05,12,2025  10:28:09;170,9
05,12,2025  11:28:09;170,9
05,12,2025  12:28:09;175,57
05,12,2025  13:28:09;170,23
05,12,2025  14:28:09;175,49
05,12,2025  15:28:09;176,77
05,12,2025  16:28:09;132,73
05,12,2025  17:28:09;168,24
05,12,2025  18:28:09;167,86
05,12,2025  19:28:09;176,21
05,12,2025  20:28:09;166,57
05,12,2025  21:28:09;165,69
05,12,2025  22:28:09;175,26
05,12,2025  23:28:09;171,58
5/13/2025 12:28:09 AM;174,69
5/13/2025 1:28:09 AM;170,95
5/13/2025 2:28:10 AM;169,56
5/13/2025 3:28:09 AM;172,92
5/13/2025 4:28:10 AM;175,67
5/13/2025 5:28:10 AM;169,87
5/13/2025 6:28:09 AM;170,99
5/13/2025 7:28:38 AM;167,84
5/13/2025 8:28:09 AM;168,91
5/13/2025 9:28:09 AM;168,51
5/13/2025 10:28:09 AM;175,52
5/13/2025 11:28:09 AM;177,97
5/13/2025 12:28:09 PM;165,35
5/13/2025 12:28:38 PM;165,35
5/13/2025 1:28:09 PM;176,96
5/13/2025 2:28:10 PM;169,63
5/13/2025 3:28:09 PM;174,19
5/13/2025 4:28:10 PM;175,85
5/13/2025 5:28:09 PM;177,13
5/13/2025 6:28:09 PM;173,45
5/13/2025 7:28:09 PM;171,42
5/13/2025 8:28:09 PM;172,82
5/13/2025 9:28:09 PM;174,42
5/13/2025 10:28:09 PM;169,49
5/13/2025 11:28:09 PM;168,43
5/14/2025 12:28:09 AM;169,16
5/14/2025 1:28:10 AM;136,44
5/14/2025 2:28:09 AM;165,84
5/14/2025 3:28:09 AM;168,9
5/14/2025 4:28:09 AM;170,97
5/14/2025 4:28:38 AM;170,97
5/14/2025 5:28:09 AM;164,15
5/14/2025 6:28:09 AM;168,77
5/14/2025 7:28:09 AM;169,83
5/14/2025 8:28:09 AM;172,5
5/14/2025 9:28:10 AM;172,21
5/14/2025 9:28:39 AM;172,21
5/14/2025 10:28:09 AM;169,43
5/14/2025 11:28:09 AM;167,39
5/14/2025 12:28:38 PM;169,39
5/14/2025 1:28:10 PM;172,35
5/14/2025 2:28:09 PM;171,23
5/14/2025 3:28:09 PM;176,36
5/14/2025 4:28:09 PM;170,09
5/14/2025 5:28:09 PM;174,23
5/14/2025 6:28:10 PM;169,85
5/14/2025 7:28:10 PM;140,3
5/14/2025 8:28:09 PM;134,02
