Timestamp;ColdStartValue
05,08,2025  18:28:10;73,27
05,08,2025  19:28:10;73,9
05,08,2025  20:28:09;75,21
05,08,2025  21:28:10;75,1
05,08,2025  22:28:09;76,55
05,08,2025  23:28:10;76,43
05,08,2025  23:28:42;76,43
05,09,2025  00:28:10;73,67
05,09,2025  01:28:09;73,42
05,09,2025  02:28:10;56,33
05,09,2025  03:28:10;76,52
05,09,2025  04:28:10;67,97
05,09,2025  05:28:10;70,39
05,09,2025  06:28:10;73,37
05,09,2025  07:28:10;75,09
05,09,2025  08:28:10;74,1
05,09,2025  08:28:42;74,1
05,09,2025  09:28:10;76
05,09,2025  10:28:09;74,72
05,09,2025  11:28:10;71,58
05,09,2025  12:28:09;74,52
05,09,2025  13:28:09;72,1
05,09,2025  14:28:10;74,07
05,09,2025  15:28:10;73,47
05,09,2025  16:28:10;75,41
05,09,2025  17:28:10;73,82
05,09,2025  18:28:10;86,99
05,09,2025  19:28:42;74,02
05,09,2025  20:28:11;72,28
05,09,2025  21:28:09;71,66
05,09,2025  22:28:10;76,33
05,09,2025  23:28:10;81,67
05,10,2025  00:28:10;73,53
05,10,2025  01:28:10;76,51
05,10,2025  02:28:09;73,67
05,10,2025  03:28:10;77,62
05,10,2025  04:28:09;67,53
05,10,2025  05:28:10;73,59
05,10,2025  06:28:10;75,34
05,10,2025  07:28:09;71,44
05,10,2025  08:28:10;77,23
05,10,2025  09:28:09;70,33
05,10,2025  10:28:10;78,51
05,10,2025  11:28:10;73,97
05,10,2025  12:28:10;75,2
05,10,2025  13:28:10;76,47
05,10,2025  14:28:10;73,67
05,10,2025  15:28:09;73,99
05,10,2025  16:28:10;72,51
05,10,2025  17:28:09;76,92
05,10,2025  18:28:09;71,68
05,10,2025  19:28:10;74,2
05,10,2025  20:28:10;75,13
05,10,2025  21:28:10;74,04
05,10,2025  22:28:09;82
05,10,2025  23:28:10;74,44
05,11,2025  00:28:10;74,53
05,11,2025  01:28:10;74,59
05,11,2025  02:28:10;71,56
05,11,2025  03:28:10;74,73
05,11,2025  04:28:09;64,21
05,11,2025  05:28:10;76,37
05,11,2025  06:28:10;74,05
05,11,2025  07:28:09;73,43
05,11,2025  08:28:09;74,89
05,11,2025  09:28:09;75,42
05,11,2025  10:28:39;74,38
05,11,2025  11:28:09;76,64
05,11,2025  12:28:10;72,88
05,11,2025  13:28:10;72,19
05,11,2025  14:28:09;72,58
05,11,2025  15:28:10;72,81
05,11,2025  16:28:10;73,96
05,11,2025  17:28:10;78,18
05,11,2025  18:28:09;73,78
05,11,2025  19:28:10;74,19
05,11,2025  20:28:10;71,58
05,11,2025  21:28:10;78
05,11,2025  22:28:10;78,08
05,11,2025  23:28:10;75,2
05,12,2025  00:28:10;73,12
05,12,2025  01:28:10;77,73
05,12,2025  02:28:09;71,51
05,12,2025  03:28:10;74,33
05,12,2025  04:28:10;74,1
05,12,2025  05:28:09;76,17
05,12,2025  06:28:10;75,55
05,12,2025  07:28:10;80,8
05,12,2025  08:28:09;72,86
05,12,2025  09:28:10;74,63
05,12,2025  10:28:09;72,71
05,12,2025  11:28:09;72,58
05,12,2025  12:28:10;70,3
05,12,2025  13:28:09;80,84
05,12,2025  14:28:10;70,95
05,12,2025  15:28:09;76,6
05,12,2025  16:28:09;75,04
05,12,2025  17:28:09;72,17
05,12,2025  18:28:10;72,51
05,12,2025  19:28:10;74,23
05,12,2025  20:28:10;72,83
05,12,2025  21:28:09;73,18
05,12,2025  22:28:09;68,05
05,12,2025  23:28:10;72,99
5/13/2025 12:28:09 AM;75,64
5/13/2025 1:28:10 AM;66,41
5/13/2025 2:28:10 AM;79,44
5/13/2025 3:28:10 AM;74,52
5/13/2025 4:28:10 AM;74,03
5/13/2025 5:28:10 AM;73,99
5/13/2025 6:28:10 AM;71,85
5/13/2025 7:28:39 AM;72,18
5/13/2025 8:28:09 AM;76,27
5/13/2025 9:28:10 AM;73,64
5/13/2025 10:28:10 AM;69,26
5/13/2025 11:28:09 AM;76,81
5/13/2025 12:28:39 PM;72,06
5/13/2025 1:28:10 PM;72,92
5/13/2025 2:28:10 PM;74,74
5/13/2025 3:28:10 PM;76,73
5/13/2025 4:28:10 PM;73,69
5/13/2025 5:28:10 PM;76,55
5/13/2025 6:28:09 PM;79,96
5/13/2025 7:28:10 PM;73,89
5/13/2025 8:28:10 PM;73,95
5/13/2025 9:28:10 PM;75,85
5/13/2025 10:28:09 PM;72,26
5/13/2025 11:28:10 PM;72,28
5/14/2025 12:28:10 AM;79,36
5/14/2025 1:28:10 AM;73,72
5/14/2025 2:28:09 AM;75,54
5/14/2025 3:28:09 AM;75,06
5/14/2025 4:28:10 AM;72,7
5/14/2025 4:28:39 AM;72,7
5/14/2025 5:28:10 AM;74
5/14/2025 6:28:10 AM;71,99
5/14/2025 7:28:10 AM;79,67
5/14/2025 8:28:10 AM;75,88
5/14/2025 9:28:11 AM;74,87
5/14/2025 9:28:40 AM;74,87
5/14/2025 10:28:10 AM;73,68
5/14/2025 11:28:09 AM;73,72
5/14/2025 12:28:39 PM;73,86
5/14/2025 1:28:10 PM;59,08
5/14/2025 2:28:10 PM;76,74
5/14/2025 3:28:10 PM;77,38
5/14/2025 4:28:10 PM;78,51
5/14/2025 5:28:10 PM;71,59
5/14/2025 6:28:11 PM;84,04
5/14/2025 7:28:10 PM;78,53
5/14/2025 8:28:10 PM;73,95
