Timestamp;ColdStartValue
05,08,2025  18:28:10;181,27
05,08,2025  19:28:10;183,89
05,08,2025  20:28:10;177,94
05,08,2025  21:28:11;186,04
05,08,2025  22:28:10;185,85
05,08,2025  23:28:11;181,99
05,08,2025  23:28:42;181,99
05,09,2025  00:28:10;179,5
05,09,2025  01:28:10;185,48
05,09,2025  02:28:11;180,5
05,09,2025  03:28:10;181,99
05,09,2025  04:28:11;178,37
05,09,2025  05:28:10;188,17
05,09,2025  06:28:10;148,09
05,09,2025  07:28:10;186,39
05,09,2025  08:28:11;184,25
05,09,2025  08:28:43;184,25
05,09,2025  09:28:11;178,86
05,09,2025  10:28:10;180,53
05,09,2025  11:28:11;328,43
05,09,2025  12:28:10;185,87
05,09,2025  13:28:10;175,58
05,09,2025  14:28:11;182,12
05,09,2025  15:28:11;185,42
05,09,2025  16:28:10;180,92
05,09,2025  17:28:11;212,52
05,09,2025  18:28:10;216,27
05,09,2025  19:28:42;185,16
05,09,2025  20:28:11;179,54
05,09,2025  21:28:10;216,75
05,09,2025  22:28:11;178,2
05,09,2025  23:28:10;180,61
05,10,2025  00:28:10;251,46
05,10,2025  01:28:11;213,11
05,10,2025  02:28:10;180,62
05,10,2025  03:28:10;193,55
05,10,2025  04:28:10;190,99
05,10,2025  05:28:10;197,08
05,10,2025  06:28:11;177,72
05,10,2025  07:28:10;200,21
05,10,2025  08:28:11;202,59
05,10,2025  09:28:10;208,53
05,10,2025  10:28:10;187,57
05,10,2025  11:28:10;182,88
05,10,2025  12:28:10;189,37
05,10,2025  13:28:11;188,11
05,10,2025  14:28:11;181,18
05,10,2025  15:28:10;187,38
05,10,2025  16:28:10;215,61
05,10,2025  17:28:10;178,2
05,10,2025  18:28:10;214,81
05,10,2025  19:28:10;183,65
05,10,2025  20:28:11;177,21
05,10,2025  21:28:11;203,03
05,10,2025  22:28:10;178,17
05,10,2025  23:28:10;183,54
05,11,2025  00:28:10;212,32
05,11,2025  01:28:11;215,82
05,11,2025  02:28:10;182,27
05,11,2025  03:28:11;171,18
05,11,2025  04:28:10;187,13
05,11,2025  05:28:10;180,51
05,11,2025  06:28:11;171,38
05,11,2025  07:28:10;175,11
05,11,2025  08:28:10;184,07
05,11,2025  09:28:10;176,68
05,11,2025  10:28:40;185,49
05,11,2025  11:28:10;188,32
05,11,2025  12:28:11;175,82
05,11,2025  13:28:11;177,28
05,11,2025  14:28:10;183,27
05,11,2025  15:28:10;183,73
05,11,2025  16:28:10;189,91
05,11,2025  17:28:10;209,54
05,11,2025  18:28:10;201,57
05,11,2025  19:28:11;185,16
05,11,2025  20:28:11;186,23
05,11,2025  21:28:10;213,98
05,11,2025  22:28:10;186,84
05,11,2025  23:28:10;214,94
05,12,2025  00:28:10;214,68
05,12,2025  01:28:11;182,9
05,12,2025  02:28:10;184,2
05,12,2025  03:28:11;327,38
05,12,2025  04:28:10;184,91
05,12,2025  05:28:10;188,86
05,12,2025  06:28:11;175,23
05,12,2025  07:28:10;184,93
05,12,2025  08:28:10;211,46
05,12,2025  09:28:11;217,41
05,12,2025  10:28:10;183,83
05,12,2025  11:28:10;182,24
05,12,2025  12:28:11;219,28
05,12,2025  13:28:10;222,3
05,12,2025  14:28:10;182,5
05,12,2025  15:28:10;187,57
05,12,2025  16:28:10;204,42
05,12,2025  17:28:10;194,67
05,12,2025  18:28:10;187,38
05,12,2025  19:28:10;181,88
05,12,2025  20:28:10;190,3
05,12,2025  21:28:10;177,84
05,12,2025  22:28:10;183,23
05,12,2025  23:28:10;177,39
5/13/2025 12:28:10 AM;213,35
5/13/2025 1:28:11 AM;340,61
5/13/2025 2:28:11 AM;191,32
5/13/2025 3:28:11 AM;186,68
5/13/2025 4:28:11 AM;185,82
5/13/2025 5:28:11 AM;180,47
5/13/2025 6:28:10 AM;172,06
5/13/2025 7:28:40 AM;178,97
5/13/2025 8:28:10 AM;197,75
5/13/2025 9:28:11 AM;186,79
5/13/2025 10:28:11 AM;186,72
5/13/2025 11:28:10 AM;183,01
5/13/2025 12:28:39 PM;326,28
5/13/2025 1:28:10 PM;187,96
5/13/2025 2:28:11 PM;207,44
5/13/2025 3:28:11 PM;230,38
5/13/2025 4:28:11 PM;185,47
5/13/2025 5:28:10 PM;186,41
5/13/2025 6:28:10 PM;215,54
5/13/2025 7:28:10 PM;203,29
5/13/2025 8:28:10 PM;176,05
5/13/2025 9:28:11 PM;178,46
5/13/2025 10:28:10 PM;212,12
5/13/2025 11:28:11 PM;208,9
5/14/2025 12:28:10 AM;181,6
5/14/2025 1:28:11 AM;207,17
5/14/2025 2:28:10 AM;177
5/14/2025 3:28:10 AM;186,69
5/14/2025 4:28:40 AM;214,58
5/14/2025 5:28:11 AM;180,89
5/14/2025 6:28:10 AM;192,98
5/14/2025 7:28:11 AM;327,6
5/14/2025 8:28:11 AM;179,84
5/14/2025 9:28:11 AM;190,76
5/14/2025 9:28:40 AM;190,76
5/14/2025 10:28:10 AM;198,38
5/14/2025 11:28:10 AM;199,11
5/14/2025 12:28:40 PM;210,77
5/14/2025 1:28:11 PM;188,41
5/14/2025 2:28:10 PM;176,47
5/14/2025 3:28:11 PM;199,86
5/14/2025 4:28:10 PM;180,09
5/14/2025 5:28:10 PM;208,11
5/14/2025 6:28:11 PM;185,59
5/14/2025 7:28:11 PM;182,67
5/14/2025 8:28:10 PM;182,39
