Timestamp;ColdStartValue
05.08.2025 20:01;30
05.08.2025 21:01;110
05.08.2025 22:01;117
05.08.2025 23:01;65
05.09.2025 00:01;116
05.09.2025 01:01;87
05.09.2025 02:01;109
05.09.2025 03:01;116
05.09.2025 04:01;67
05.09.2025 05:01;119
05.09.2025 06:01;68
05.09.2025 07:01;77
05.09.2025 08:01;102
05.09.2025 09:01;121
05.09.2025 10:01;111
05.09.2025 11:01;72
05.09.2025 12:01;83
05.09.2025 13:01;88
05.09.2025 14:01;19
05.09.2025 15:01;21
05.09.2025 16:01;87
05.09.2025 17:01;125
05.09.2025 18:01;77
05.09.2025 19:01;57
05.09.2025 20:01;37
05.09.2025 21:01;93
05.09.2025 22:01;120
05.09.2025 23:01;93
05.10.2025 00:01;75
05.10.2025 01:01;89
05.10.2025 02:01;119
05.10.2025 03:01;93
05.10.2025 04:01;82
05.10.2025 05:01;62
05.10.2025 06:01;91
05.10.2025 07:01;91
05.10.2025 08:01;91
05.10.2025 09:01;81
05.10.2025 10:01;48
05.10.2025 11:01;16
05.10.2025 12:01;61
05.10.2025 13:01;75
05.10.2025 14:01;11
05.10.2025 15:01;55
05.10.2025 16:01;122
05.10.2025 17:01;94
05.10.2025 18:01;113
05.10.2025 19:01;91
05.10.2025 20:01;120
05.10.2025 21:01;92
05.10.2025 22:01;69
05.10.2025 23:01;117
05.11.2025 00:01;85
05.11.2025 01:01;20
05.11.2025 02:01;90
05.11.2025 03:01;85
05.11.2025 04:01;106
05.11.2025 05:01;96
05.11.2025 06:01;114
05.11.2025 07:01;90
05.11.2025 08:01;94
05.11.2025 09:01;72
05.11.2025 10:01;76
05.11.2025 11:01;89
05.11.2025 12:01;92
05.11.2025 13:01;90
05.11.2025 14:01;103
05.11.2025 15:01;101
05.11.2025 16:01;10
05.11.2025 17:01;96
05.11.2025 18:01;119
05.11.2025 19:01;88
05.11.2025 20:01;2
05.11.2025 21:01;130
05.11.2025 22:01;74
05.11.2025 23:01;77
05.12.2025 00:01;30
05.12.2025 01:01;74
05.12.2025 02:01;123
05.12.2025 03:01;92
05.12.2025 04:01;44
05.12.2025 05:01;112
05.12.2025 06:01;97
05.12.2025 07:01;73
05.12.2025 08:01;118
05.12.2025 09:01;99
05.12.2025 10:01;122
05.12.2025 11:01;8
05.12.2025 12:01;128
05.12.2025 13:01;107
05.12.2025 14:01;249
05.12.2025 15:01;109
05.12.2025 16:01;104
05.12.2025 17:01;91
05.12.2025 18:01;40
05.12.2025 19:01;127
05.12.2025 20:01;187
05.12.2025 21:01;89
05.12.2025 22:01;107
05.12.2025 23:01;26
5/13/2025 12:01:01 AM;99
5/13/2025 1:01:01 AM;39
5/13/2025 2:01:01 AM;89
5/13/2025 3:01:01 AM;113
5/13/2025 4:01:01 AM;61
5/13/2025 5:01:01 AM;101
5/13/2025 6:01:05 AM;45
5/13/2025 7:01:05 AM;228
5/13/2025 8:01:01 AM;129
5/13/2025 9:01:01 AM;61
5/13/2025 10:01:02 AM;98
5/13/2025 11:01:01 AM;92
5/13/2025 12:01:01 PM;19
5/13/2025 1:01:05 PM;130
5/13/2025 2:01:01 PM;127
5/13/2025 3:01:01 PM;118
5/13/2025 4:01:05 PM;30
5/13/2025 5:01:01 PM;71
5/13/2025 6:01:01 PM;78
5/13/2025 7:01:01 PM;130
5/13/2025 8:01:02 PM;110
5/13/2025 9:01:01 PM;95
5/13/2025 10:01:05 PM;90
5/13/2025 11:01:01 PM;116
5/14/2025 12:01:05 AM;50
5/14/2025 1:01:05 AM;54
5/14/2025 2:01:05 AM;123
5/14/2025 3:01:05 AM;128
5/14/2025 4:01:01 AM;92
5/14/2025 5:01:01 AM;50
5/14/2025 6:01:05 AM;103
5/14/2025 7:01:01 AM;99
5/14/2025 8:01:01 AM;102
5/14/2025 9:01:01 AM;88
5/14/2025 10:01:01 AM;117
5/14/2025 11:01:01 AM;74
5/14/2025 12:01:01 PM;69
5/14/2025 1:01:02 PM;98
5/14/2025 2:01:01 PM;84
5/14/2025 3:01:01 PM;157
5/14/2025 4:01:00 PM;133
5/14/2025 5:01:01 PM;58
5/14/2025 6:01:06 PM;115
5/14/2025 7:01:01 PM;108
5/14/2025 8:01:01 PM;44
;=
