Timestamp;ColdStartValue;
5/18/2025 8:01:01 PM;124;
5/18/2025 9:01:01 PM;83;
5/18/2025 10:01:01 PM;65;
5/18/2025 11:01:05 PM;124;
5/19/2025 12:01:01 AM;65;
5/19/2025 1:01:02 AM;133;
5/19/2025 2:01:00 AM;91;
5/19/2025 3:01:05 AM;82;
5/19/2025 4:01:01 AM;68;
5/19/2025 5:01:05 AM;51;
5/19/2025 6:01:01 AM;77;
5/19/2025 7:01:01 AM;148;
5/19/2025 8:01:01 AM;139;
5/19/2025 9:01:00 AM;98;
5/19/2025 10:01:01 AM;85;
5/19/2025 11:01:01 AM;123;
5/19/2025 12:01:01 PM;124;
5/19/2025 1:01:01 PM;125;
5/19/2025 2:01:01 PM;64;
5/19/2025 3:01:01 PM;46;
5/19/2025 4:01:01 PM;256;
5/19/2025 5:01:01 PM;88;
5/19/2025 6:01:01 PM;136;
5/19/2025 7:01:05 PM;102;
5/19/2025 8:01:05 PM;63;
5/19/2025 9:01:01 PM;64;
5/19/2025 10:01:01 PM;102;
5/19/2025 11:01:05 PM;137;
5/20/2025 12:01:00 AM;136;
5/20/2025 1:01:01 AM;54;
5/20/2025 2:01:01 AM;113;
5/20/2025 3:01:02 AM;143;
5/20/2025 4:01:01 AM;87;
5/20/2025 5:01:01 AM;86;
5/20/2025 6:01:00 AM;100;
5/20/2025 7:01:01 AM;187;
5/20/2025 8:01:05 AM;97;
5/20/2025 9:01:01 AM;114;
5/20/2025 10:01:05 AM;112;
5/20/2025 11:01:01 AM;140;
5/20/2025 12:01:01 PM;90;
5/20/2025 1:01:01 PM;122;
5/20/2025 2:01:01 PM;154;
5/20/2025 3:01:01 PM;68;
5/20/2025 4:01:01 PM;150;
5/20/2025 5:01:01 PM;77;
5/20/2025 6:01:01 PM;80;
5/20/2025 7:01:01 PM;75;
5/20/2025 8:01:00 PM;97;
5/20/2025 9:01:01 PM;70;
5/20/2025 10:01:01 PM;97;
5/20/2025 11:01:01 PM;60;
5/21/2025 12:01:05 AM;126;
5/21/2025 1:01:01 AM;129;
5/21/2025 2:01:01 AM;126;
5/21/2025 3:01:01 AM;135;
5/21/2025 4:01:01 AM;78;
5/21/2025 5:01:06 AM;127;
5/21/2025 6:01:01 AM;113;
5/21/2025 7:01:01 AM;74;
5/21/2025 8:01:01 AM;76;
5/21/2025 9:01:01 AM;69;
5/21/2025 10:01:01 AM;53;
5/21/2025 11:01:05 AM;79;
5/21/2025 12:01:01 PM;143;
5/21/2025 1:01:01 PM;81;
5/21/2025 2:01:01 PM;133;
5/21/2025 3:01:01 PM;61;
5/21/2025 4:01:05 PM;110;
5/21/2025 5:01:01 PM;69;
5/21/2025 6:01:05 PM;86;
5/21/2025 7:01:01 PM;72;
5/21/2025 8:01:01 PM;100;
5/21/2025 9:01:01 PM;70;
5/21/2025 10:01:05 PM;97;
5/21/2025 11:01:01 PM;119;
5/22/2025 12:01:01 AM;144;
5/22/2025 1:01:01 AM;55;
5/22/2025 2:01:05 AM;72;
5/22/2025 3:01:01 AM;135;
5/22/2025 4:01:05 AM;75;
5/22/2025 5:01:01 AM;121;
5/22/2025 6:01:01 AM;59;
5/22/2025 7:01:01 AM;116;
5/22/2025 8:01:01 AM;123;
5/22/2025 9:01:01 AM;70;
5/22/2025 10:01:01 AM;107;
5/22/2025 11:01:01 AM;98;
5/22/2025 12:01:01 PM;94;
5/22/2025 1:01:01 PM;98;
5/22/2025 2:01:01 PM;155;
5/22/2025 3:01:05 PM;127;
5/22/2025 4:01:01 PM;133;
5/22/2025 5:01:01 PM;51;
5/22/2025 6:01:01 PM;69;
5/22/2025 7:01:01 PM;48;
5/22/2025 8:01:01 PM;117;
5/22/2025 9:01:02 PM;139;
5/22/2025 10:01:05 PM;75;
5/22/2025 11:01:01 PM;148;
5/23/2025 12:01:00 AM;80;
5/23/2025 1:01:07 AM;84;
5/23/2025 2:01:01 AM;135;
5/23/2025 3:01:01 AM;51;
5/23/2025 4:01:01 AM;118;
5/23/2025 5:01:01 AM;62;
5/23/2025 6:01:01 AM;66;
5/23/2025 7:01:02 AM;69;
5/23/2025 8:01:01 AM;117;
5/23/2025 9:01:02 AM;76;
5/23/2025 10:01:01 AM;86;
5/23/2025 11:01:01 AM;88;
5/23/2025 12:01:01 PM;152;
5/23/2025 1:01:05 PM;139;
5/23/2025 2:01:01 PM;79;
5/23/2025 3:01:07 PM;72;
5/23/2025 4:01:01 PM;122;
5/23/2025 5:01:01 PM;127;
5/23/2025 6:01:01 PM;86;
5/23/2025 7:01:05 PM;62;
5/23/2025 8:01:05 PM;150;
5/23/2025 9:01:05 PM;89;
5/23/2025 10:01:02 PM;131;
5/23/2025 11:01:01 PM;128;
5/24/2025 12:01:01 AM;59;
5/24/2025 1:01:01 AM;123;
5/24/2025 2:01:01 AM;76;
5/24/2025 3:01:05 AM;92;
5/24/2025 4:01:01 AM;122;
5/24/2025 5:01:01 AM;59;
5/24/2025 6:01:02 AM;50;
5/24/2025 7:01:02 AM;227;
5/24/2025 8:01:01 AM;121;
5/24/2025 9:01:01 AM;90;
5/24/2025 10:01:01 AM;125;
5/24/2025 11:01:01 AM;64;
5/24/2025 12:01:05 PM;112;
5/24/2025 1:01:01 PM;103;
5/24/2025 2:01:01 PM;95;
5/24/2025 3:01:01 PM;82;
5/24/2025 4:01:01 PM;67;
5/24/2025 5:01:05 PM;59;
5/24/2025 6:01:01 PM;59;
5/24/2025 7:01:01 PM;85;
5/24/2025 8:01:05 PM;118;
5/24/2025 9:01:01 PM;84;
5/24/2025 10:01:05 PM;108;
5/24/2025 11:01:01 PM;104;
5/25/2025 12:01:01 AM;72;
5/25/2025 1:01:01 AM;81;
5/25/2025 2:01:06 AM;111;
5/25/2025 3:01:01 AM;70;
5/25/2025 4:01:01 AM;69;
5/25/2025 5:01:01 AM;145;
5/25/2025 6:01:01 AM;69;
5/25/2025 7:01:05 AM;73;
5/25/2025 8:01:05 AM;132;
5/25/2025 9:01:01 AM;67;
5/25/2025 10:01:01 AM;94;
5/25/2025 11:01:01 AM;115;
5/25/2025 12:01:01 PM;70;
5/25/2025 1:01:01 PM;70;
5/25/2025 2:01:01 PM;78;
5/25/2025 3:01:06 PM;79;
5/25/2025 4:01:01 PM;165;
5/25/2025 5:01:05 PM;140;
5/25/2025 6:01:01 PM;112;
