Timestamp;ColdStartValue;
5/18/2025 8:01:05 PM;135;
5/18/2025 9:01:05 PM;88;
5/18/2025 10:01:01 PM;84;
5/18/2025 11:01:05 PM;76;
5/19/2025 12:01:01 AM;95;
5/19/2025 1:01:06 AM;128;
5/19/2025 2:01:01 AM;99;
5/19/2025 3:01:01 AM;143;
5/19/2025 4:01:01 AM;58;
5/19/2025 5:01:05 AM;117;
5/19/2025 6:01:01 AM;95;
5/19/2025 7:01:05 AM;73;
5/19/2025 8:01:05 AM;140;
5/19/2025 9:01:05 AM;76;
5/19/2025 10:01:01 AM;160;
5/19/2025 11:01:01 AM;113;
5/19/2025 12:01:01 PM;174;
5/19/2025 1:01:00 PM;116;
5/19/2025 2:01:05 PM;61;
5/19/2025 3:01:05 PM;131;
5/19/2025 4:01:05 PM;113;
5/19/2025 5:01:01 PM;63;
5/19/2025 6:01:01 PM;165;
5/19/2025 7:01:01 PM;119;
5/19/2025 8:01:01 PM;91;
5/19/2025 9:01:05 PM;56;
5/19/2025 10:01:01 PM;140;
5/19/2025 11:01:01 PM;69;
5/20/2025 12:01:01 AM;96;
5/20/2025 1:01:01 AM;66;
5/20/2025 2:01:01 AM;70;
5/20/2025 3:01:01 AM;76;
5/20/2025 4:01:01 AM;132;
5/20/2025 5:01:05 AM;133;
5/20/2025 6:01:05 AM;88;
5/20/2025 7:01:05 AM;117;
5/20/2025 8:01:05 AM;123;
5/20/2025 9:01:05 AM;113;
5/20/2025 10:01:02 AM;115;
5/20/2025 11:01:01 AM;68;
5/20/2025 12:01:01 PM;87;
5/20/2025 1:01:01 PM;62;
5/20/2025 2:01:05 PM;126;
5/20/2025 3:01:05 PM;59;
5/20/2025 4:01:01 PM;148;
5/20/2025 5:01:01 PM;70;
5/20/2025 6:01:05 PM;78;
5/20/2025 7:01:01 PM;136;
5/20/2025 8:01:01 PM;49;
5/20/2025 9:01:01 PM;131;
5/20/2025 10:01:01 PM;76;
5/20/2025 11:01:05 PM;102;
5/21/2025 12:01:02 AM;128;
5/21/2025 1:01:05 AM;158;
5/21/2025 2:01:01 AM;55;
5/21/2025 3:01:01 AM;71;
5/21/2025 4:01:05 AM;106;
5/21/2025 5:01:01 AM;89;
5/21/2025 6:01:01 AM;158;
5/21/2025 7:01:01 AM;113;
5/21/2025 8:01:01 AM;154;
5/21/2025 9:01:05 AM;64;
5/21/2025 10:01:01 AM;107;
5/21/2025 11:01:01 AM;137;
5/21/2025 12:01:01 PM;125;
5/21/2025 1:01:01 PM;64;
5/21/2025 2:01:01 PM;113;
5/21/2025 3:01:01 PM;58;
5/21/2025 4:01:01 PM;53;
5/21/2025 5:01:05 PM;56;
5/21/2025 6:01:00 PM;132;
5/21/2025 7:01:01 PM;77;
5/21/2025 8:01:01 PM;141;
5/21/2025 9:01:01 PM;105;
5/21/2025 10:01:01 PM;115;
5/21/2025 11:01:01 PM;112;
5/22/2025 12:01:05 AM;115;
5/22/2025 1:01:05 AM;69;
5/22/2025 2:01:05 AM;90;
5/22/2025 3:01:01 AM;56;
5/22/2025 4:01:01 AM;103;
5/22/2025 5:01:01 AM;56;
5/22/2025 6:01:01 AM;100;
5/22/2025 7:01:00 AM;78;
5/22/2025 8:01:01 AM;61;
5/22/2025 9:01:05 AM;73;
5/22/2025 10:01:06 AM;146;
5/22/2025 11:01:05 AM;70;
5/22/2025 12:01:05 PM;68;
5/22/2025 1:01:01 PM;82;
5/22/2025 2:01:05 PM;158;
5/22/2025 3:01:01 PM;90;
5/22/2025 4:01:01 PM;47;
5/22/2025 5:01:01 PM;143;
5/22/2025 6:01:05 PM;119;
5/22/2025 7:01:01 PM;67;
5/22/2025 8:01:01 PM;100;
5/22/2025 9:01:04 PM;41;
5/22/2025 10:01:05 PM;98;
5/22/2025 11:01:02 PM;62;
5/23/2025 12:01:03 AM;109;
5/23/2025 1:01:01 AM;81;
5/23/2025 2:01:05 AM;51;
5/23/2025 3:01:01 AM;126;
5/23/2025 4:01:00 AM;85;
5/23/2025 5:01:01 AM;94;
5/23/2025 6:01:01 AM;99;
5/23/2025 7:01:01 AM;96;
5/23/2025 8:01:05 AM;73;
5/23/2025 9:01:03 AM;112;
5/23/2025 10:01:01 AM;83;
