Timestamp;ColdStartValue;
6/1/2025 9:01:01 PM;874;
6/1/2025 10:01:01 PM;262;
6/1/2025 11:01:01 PM;67;
6/2/2025 12:01:06 AM;58;
6/2/2025 1:01:01 AM;66;
6/2/2025 2:01:05 AM;65;
6/2/2025 3:01:01 AM;39;
6/2/2025 4:01:05 AM;106;
6/2/2025 5:01:01 AM;24;
6/2/2025 6:01:06 AM;135;
6/2/2025 7:01:01 AM;57;
6/2/2025 8:01:05 AM;77;
6/2/2025 9:01:01 AM;111;
6/2/2025 10:01:02 AM;38;
6/2/2025 11:01:01 AM;20;
6/2/2025 12:01:02 PM;29;
6/2/2025 1:01:02 PM;63;
6/2/2025 2:01:05 PM;136;
6/2/2025 3:01:05 PM;75;
6/2/2025 4:01:01 PM;11;
6/2/2025 5:01:01 PM;65;
6/2/2025 6:01:01 PM;125;
6/2/2025 7:01:01 PM;17;
6/2/2025 8:01:01 PM;45;
6/2/2025 9:01:07 PM;99;
6/2/2025 10:01:01 PM;49;
6/2/2025 11:01:02 PM;35;
6/3/2025 12:01:05 AM;81;
6/3/2025 1:01:01 AM;3;
6/3/2025 2:01:05 AM;47;
6/3/2025 3:01:01 AM;106;
6/3/2025 4:01:03 AM;72;
6/3/2025 5:01:01 AM;46;
6/3/2025 6:01:01 AM;72;
6/3/2025 7:01:01 AM;11;
6/3/2025 8:01:01 AM;103;
6/3/2025 9:01:01 AM;160;
6/3/2025 10:01:01 AM;41;
6/3/2025 11:01:05 AM;131;
6/3/2025 12:01:01 PM;105;
6/3/2025 1:01:07 PM;27;
6/3/2025 2:01:01 PM;54;
6/3/2025 3:01:01 PM;36;
6/3/2025 4:01:05 PM;102;
6/3/2025 5:01:05 PM;92;
6/3/2025 6:01:01 PM;54;
6/3/2025 7:01:01 PM;114;
6/3/2025 8:01:01 PM;58;
6/3/2025 9:01:01 PM;43;
6/3/2025 10:01:01 PM;70;
6/3/2025 11:01:01 PM;122;
6/4/2025 12:01:01 AM;73;
6/4/2025 1:01:05 AM;80;
6/4/2025 2:01:05 AM;51;
6/4/2025 3:01:01 AM;24;
6/4/2025 4:01:01 AM;3;
6/4/2025 5:01:02 AM;56;
6/4/2025 6:01:05 AM;67;
6/4/2025 7:01:01 AM;111;
6/4/2025 8:01:01 AM;57;
6/4/2025 9:01:05 AM;106;
6/4/2025 10:01:02 AM;126;
6/4/2025 11:01:02 AM;67;
6/4/2025 12:01:05 PM;88;
6/4/2025 1:01:01 PM;61;
6/4/2025 2:01:01 PM;88;
6/4/2025 3:01:01 PM;67;
6/4/2025 4:01:01 PM;76;
6/4/2025 5:01:05 PM;96;
6/4/2025 6:01:02 PM;64;
6/4/2025 7:01:05 PM;47;
6/4/2025 8:01:01 PM;37;
6/4/2025 9:01:01 PM;20;
6/4/2025 10:01:05 PM;5;
6/4/2025 11:01:01 PM;65;
6/5/2025 12:01:01 AM;67;
6/5/2025 1:01:07 AM;19;
6/5/2025 2:01:01 AM;94;
6/5/2025 3:01:05 AM;48;
6/5/2025 4:01:01 AM;56;
6/5/2025 5:01:01 AM;95;
6/5/2025 6:01:02 AM;66;
6/5/2025 7:01:05 AM;77;
6/5/2025 8:01:05 AM;44;
6/5/2025 9:01:05 AM;95;
6/5/2025 10:01:05 AM;129;
6/5/2025 11:01:01 AM;104;
6/5/2025 12:01:05 PM;14;
6/5/2025 1:01:01 PM;105;
6/5/2025 2:01:02 PM;30;
6/5/2025 3:01:00 PM;27;
6/5/2025 4:01:01 PM;101;
6/5/2025 5:01:05 PM;43;
6/5/2025 6:01:05 PM;55;
6/5/2025 7:01:03 PM;56;
6/5/2025 8:01:05 PM;83;
6/5/2025 9:01:02 PM;81;
6/5/2025 10:01:05 PM;38;
6/5/2025 11:01:03 PM;77;
6/6/2025 12:01:01 AM;82;
6/6/2025 1:01:02 AM;36;
6/6/2025 2:01:00 AM;120;
6/6/2025 3:01:03 AM;19;
6/6/2025 4:01:01 AM;90;
6/6/2025 5:01:01 AM;46;
6/6/2025 6:01:01 AM;94;
6/6/2025 7:01:05 AM;127;
6/6/2025 8:01:02 AM;22;
6/6/2025 9:01:01 AM;73;
6/6/2025 10:01:01 AM;87;
6/6/2025 11:01:01 AM;124;
6/6/2025 12:01:05 PM;12;
6/6/2025 1:01:01 PM;37;
6/6/2025 2:01:01 PM;3;
6/6/2025 3:01:01 PM;121;
6/6/2025 4:01:02 PM;89;
6/6/2025 5:01:01 PM;84;
6/6/2025 6:01:01 PM;51;
6/6/2025 7:01:05 PM;76;
6/6/2025 8:01:01 PM;49;
6/6/2025 9:01:01 PM;52;
6/6/2025 10:01:05 PM;111;
6/6/2025 11:01:01 PM;95;
6/7/2025 12:01:02 AM;86;
6/7/2025 1:01:01 AM;43;
6/7/2025 2:01:00 AM;75;
6/7/2025 3:01:01 AM;30;
6/7/2025 4:01:02 AM;74;
6/7/2025 5:01:01 AM;13;
6/7/2025 6:01:01 AM;25;
6/7/2025 7:01:01 AM;42;
6/7/2025 8:01:01 AM;50;
6/7/2025 9:01:01 AM;48;
6/7/2025 10:01:01 AM;65;
6/7/2025 11:01:01 AM;43;
6/7/2025 12:01:02 PM;45;
6/7/2025 1:01:01 PM;98;
6/7/2025 2:01:05 PM;22;
6/7/2025 3:01:01 PM;110;
6/7/2025 4:01:01 PM;137;
6/7/2025 5:01:01 PM;73;
