Timestamp;ColdStartValue;
6/1/2025 9:01:01 PM;389;
6/1/2025 10:01:01 PM;113;
6/1/2025 11:01:01 PM;128;
6/2/2025 12:01:01 AM;31;
6/2/2025 1:01:05 AM;64;
6/2/2025 2:01:01 AM;104;
6/2/2025 3:01:01 AM;151;
6/2/2025 4:01:01 AM;113;
6/2/2025 5:01:01 AM;142;
6/2/2025 6:01:01 AM;118;
6/2/2025 7:01:01 AM;111;
6/2/2025 8:01:01 AM;169;
6/2/2025 9:01:05 AM;165;
6/2/2025 10:01:01 AM;58;
6/2/2025 11:01:01 AM;76;
6/2/2025 12:01:02 PM;120;
6/2/2025 1:01:01 PM;112;
6/2/2025 2:01:01 PM;109;
6/2/2025 3:01:01 PM;172;
6/2/2025 4:01:01 PM;259;
6/2/2025 5:01:01 PM;103;
6/2/2025 6:01:05 PM;52;
6/2/2025 7:01:01 PM;130;
6/2/2025 8:01:01 PM;25;
6/2/2025 9:01:07 PM;59;
6/2/2025 10:01:01 PM;78;
6/2/2025 11:01:01 PM;29;
6/3/2025 12:01:06 AM;78;
6/3/2025 1:01:00 AM;114;
6/3/2025 2:01:02 AM;68;
6/3/2025 3:01:01 AM;81;
6/3/2025 4:01:01 AM;85;
6/3/2025 5:01:00 AM;128;
6/3/2025 6:01:01 AM;81;
6/3/2025 7:01:05 AM;122;
6/3/2025 8:01:02 AM;50;
6/3/2025 9:01:01 AM;191;
6/3/2025 10:01:01 AM;122;
6/3/2025 11:01:01 AM;132;
6/3/2025 12:01:01 PM;146;
6/3/2025 1:01:02 PM;130;
6/3/2025 2:01:02 PM;124;
6/3/2025 3:01:01 PM;191;
6/3/2025 4:01:01 PM;190;
6/3/2025 5:01:01 PM;144;
6/3/2025 6:01:01 PM;12;
6/3/2025 7:01:01 PM;130;
6/3/2025 8:01:06 PM;109;
6/3/2025 9:01:01 PM;70;
6/3/2025 10:01:00 PM;133;
6/3/2025 11:01:01 PM;76;
6/4/2025 12:01:01 AM;115;
6/4/2025 1:01:01 AM;123;
6/4/2025 2:01:01 AM;44;
6/4/2025 3:01:01 AM;70;
6/4/2025 4:01:01 AM;87;
6/4/2025 5:01:01 AM;3;
6/4/2025 6:01:00 AM;83;
6/4/2025 7:01:01 AM;195;
6/4/2025 8:01:01 AM;101;
6/4/2025 9:01:01 AM;24;
6/4/2025 10:01:06 AM;164;
6/4/2025 11:01:05 AM;99;
6/4/2025 12:01:01 PM;1;
6/4/2025 1:01:02 PM;16;
6/4/2025 2:01:05 PM;125;
6/4/2025 3:01:00 PM;129;
6/4/2025 4:01:05 PM;162;
6/4/2025 5:01:00 PM;111;
6/4/2025 6:01:01 PM;141;
6/4/2025 7:01:01 PM;3;
6/4/2025 8:01:02 PM;29;
6/4/2025 9:01:01 PM;108;
6/4/2025 10:01:01 PM;80;
6/4/2025 11:01:01 PM;146;
6/5/2025 12:01:06 AM;92;
6/5/2025 1:01:02 AM;106;
6/5/2025 2:01:05 AM;110;
6/5/2025 3:01:01 AM;151;
6/5/2025 4:01:01 AM;63;
6/5/2025 5:01:02 AM;149;
6/5/2025 6:01:05 AM;4;
6/5/2025 7:01:01 AM;13;
6/5/2025 8:01:01 AM;235;
6/5/2025 9:01:05 AM;1;
6/5/2025 10:01:01 AM;175;
6/5/2025 11:01:01 AM;90;
6/5/2025 12:01:01 PM;213;
6/5/2025 1:01:01 PM;171;
6/5/2025 2:01:05 PM;156;
6/5/2025 3:01:06 PM;207;
6/5/2025 4:01:05 PM;316;
6/5/2025 5:01:01 PM;61;
6/5/2025 6:01:05 PM;102;
6/5/2025 7:01:02 PM;176;
6/5/2025 8:01:01 PM;130;
6/5/2025 9:01:06 PM;57;
6/5/2025 10:01:01 PM;20;
6/5/2025 11:01:03 PM;136;
6/6/2025 12:01:02 AM;42;
6/6/2025 1:01:01 AM;108;
6/6/2025 2:01:01 AM;30;
6/6/2025 3:01:01 AM;9;
6/6/2025 4:01:01 AM;145;
6/6/2025 5:01:01 AM;137;
6/6/2025 6:01:05 AM;82;
6/6/2025 7:01:02 AM;136;
6/6/2025 8:01:03 AM;9;
6/6/2025 9:01:05 AM;197;
6/6/2025 10:01:05 AM;161;
6/6/2025 11:01:05 AM;127;
6/6/2025 12:01:01 PM;116;
6/6/2025 1:01:01 PM;171;
6/6/2025 2:01:01 PM;116;
6/6/2025 3:01:01 PM;186;
6/6/2025 4:01:05 PM;146;
6/6/2025 5:01:05 PM;144;
6/6/2025 6:01:01 PM;138;
6/6/2025 7:01:05 PM;136;
6/6/2025 8:01:01 PM;120;
6/6/2025 9:01:05 PM;127;
6/6/2025 10:01:05 PM;198;
6/6/2025 11:01:01 PM;134;
6/7/2025 12:01:01 AM;108;
6/7/2025 1:01:01 AM;121;
6/7/2025 2:01:02 AM;87;
6/7/2025 3:01:01 AM;130;
6/7/2025 4:01:05 AM;116;
6/7/2025 5:01:01 AM;56;
6/7/2025 6:01:01 AM;126;
6/7/2025 7:01:01 AM;81;
6/7/2025 8:01:01 AM;167;
6/7/2025 9:01:05 AM;181;
6/7/2025 10:01:01 AM;283;
6/7/2025 11:01:01 AM;164;
6/7/2025 12:01:01 PM;107;
6/7/2025 1:01:01 PM;159;
6/7/2025 2:01:01 PM;135;
6/7/2025 3:01:01 PM;164;
6/7/2025 4:01:01 PM;182;
6/7/2025 5:01:02 PM;17;
