Timestamp;ColdStartValue;
6/1/2025 9:01:01 PM;12;
6/1/2025 10:01:01 PM;59;
6/1/2025 11:01:01 PM;147;
6/2/2025 12:01:02 AM;60;
6/2/2025 1:01:02 AM;34;
6/2/2025 2:01:01 AM;43;
6/2/2025 3:01:01 AM;37;
6/2/2025 4:01:01 AM;93;
6/2/2025 5:01:05 AM;52;
6/2/2025 6:01:06 AM;21;
6/2/2025 7:01:05 AM;78;
6/2/2025 8:01:01 AM;66;
6/2/2025 9:01:05 AM;54;
6/2/2025 10:01:01 AM;33;
6/2/2025 11:01:01 AM;46;
6/2/2025 12:01:01 PM;53;
6/2/2025 1:01:01 PM;90;
6/2/2025 2:01:05 PM;55;
6/2/2025 3:01:01 PM;16;
6/2/2025 4:01:01 PM;66;
6/2/2025 5:01:01 PM;34;
6/2/2025 6:01:01 PM;74;
6/2/2025 7:01:01 PM;41;
6/2/2025 8:01:01 PM;42;
6/2/2025 9:01:01 PM;35;
6/2/2025 10:01:03 PM;44;
6/2/2025 11:01:01 PM;68;
6/3/2025 12:01:00 AM;75;
6/3/2025 1:01:01 AM;46;
6/3/2025 2:01:01 AM;84;
6/3/2025 3:01:05 AM;66;
6/3/2025 4:01:03 AM;59;
6/3/2025 5:01:05 AM;78;
6/3/2025 6:01:01 AM;110;
6/3/2025 7:01:01 AM;41;
6/3/2025 8:01:01 AM;41;
6/3/2025 9:01:01 AM;83;
6/3/2025 10:01:02 AM;67;
6/3/2025 11:01:01 AM;60;
6/3/2025 12:01:01 PM;51;
6/3/2025 1:01:01 PM;68;
6/3/2025 2:01:02 PM;52;
6/3/2025 3:01:01 PM;31;
6/3/2025 4:01:01 PM;106;
6/3/2025 5:01:05 PM;65;
6/3/2025 6:01:01 PM;76;
6/3/2025 7:01:01 PM;87;
6/3/2025 8:01:01 PM;85;
6/3/2025 9:01:01 PM;51;
6/3/2025 10:01:02 PM;60;
6/3/2025 11:01:01 PM;41;
6/4/2025 12:01:05 AM;58;
6/4/2025 1:01:01 AM;68;
6/4/2025 2:01:01 AM;22;
6/4/2025 3:01:01 AM;41;
6/4/2025 4:01:01 AM;44;
6/4/2025 5:01:01 AM;68;
6/4/2025 6:01:05 AM;64;
6/4/2025 7:01:01 AM;75;
6/4/2025 8:01:01 AM;46;
6/4/2025 9:01:01 AM;46;
6/4/2025 10:01:08 AM;56;
6/4/2025 11:01:01 AM;64;
6/4/2025 12:01:01 PM;23;
6/4/2025 1:01:01 PM;44;
6/4/2025 2:01:05 PM;15;
6/4/2025 3:01:01 PM;75;
6/4/2025 4:01:01 PM;41;
6/4/2025 5:01:01 PM;29;
6/4/2025 6:01:05 PM;43;
6/4/2025 7:01:01 PM;56;
6/4/2025 8:01:01 PM;56;
6/4/2025 9:01:05 PM;49;
6/4/2025 10:01:01 PM;73;
6/4/2025 11:01:02 PM;55;
6/5/2025 12:01:05 AM;94;
6/5/2025 1:01:01 AM;57;
6/5/2025 2:01:01 AM;1;
6/5/2025 3:01:01 AM;55;
6/5/2025 4:01:00 AM;43;
6/5/2025 5:01:05 AM;38;
6/5/2025 6:01:02 AM;34;
6/5/2025 7:01:05 AM;56;
6/5/2025 8:01:01 AM;80;
6/5/2025 9:01:05 AM;17;
6/5/2025 10:01:01 AM;41;
6/5/2025 11:01:01 AM;74;
6/5/2025 12:01:01 PM;22;
6/5/2025 1:01:05 PM;50;
6/5/2025 2:01:01 PM;67;
6/5/2025 3:01:01 PM;40;
6/5/2025 4:01:05 PM;39;
6/5/2025 5:01:01 PM;44;
6/5/2025 6:01:05 PM;26;
6/5/2025 7:01:01 PM;53;
6/5/2025 8:01:01 PM;50;
6/5/2025 9:01:03 PM;46;
6/5/2025 10:01:01 PM;42;
6/5/2025 11:01:01 PM;35;
6/6/2025 12:01:01 AM;41;
6/6/2025 1:01:02 AM;44;
6/6/2025 2:01:01 AM;42;
6/6/2025 3:01:06 AM;43;
6/6/2025 4:01:02 AM;24;
6/6/2025 5:01:00 AM;51;
6/6/2025 6:01:01 AM;54;
6/6/2025 7:01:01 AM;6;
6/6/2025 8:01:01 AM;49;
6/6/2025 9:01:05 AM;38;
6/6/2025 10:01:01 AM;65;
6/6/2025 11:01:01 AM;50;
6/6/2025 12:01:01 PM;50;
6/6/2025 1:01:00 PM;44;
6/6/2025 2:01:01 PM;21;
6/6/2025 3:01:05 PM;82;
6/6/2025 4:01:02 PM;60;
6/6/2025 5:01:01 PM;53;
6/6/2025 6:01:01 PM;53;
6/6/2025 7:01:05 PM;50;
6/6/2025 8:01:05 PM;61;
6/6/2025 9:01:01 PM;47;
6/6/2025 10:01:01 PM;76;
6/6/2025 11:01:01 PM;82;
6/7/2025 12:01:05 AM;46;
6/7/2025 1:01:05 AM;83;
6/7/2025 2:01:01 AM;71;
6/7/2025 3:01:01 AM;37;
6/7/2025 4:01:01 AM;49;
6/7/2025 5:01:01 AM;42;
6/7/2025 6:01:02 AM;69;
6/7/2025 7:01:01 AM;77;
6/7/2025 8:01:01 AM;74;
6/7/2025 9:01:05 AM;44;
6/7/2025 10:01:01 AM;74;
6/7/2025 11:01:05 AM;44;
6/7/2025 12:01:01 PM;47;
6/7/2025 1:01:01 PM;86;
6/7/2025 2:01:05 PM;42;
6/7/2025 3:01:05 PM;56;
6/7/2025 4:01:01 PM;60;
6/7/2025 5:01:01 PM;54;
