Timestamp;ColdStartValue;
6/1/2025 9:01:01 PM;443;
6/1/2025 10:01:00 PM;50;
6/1/2025 11:01:02 PM;183;
6/2/2025 12:01:01 AM;99;
6/2/2025 1:01:00 AM;146;
6/2/2025 2:01:01 AM;69;
6/2/2025 3:01:01 AM;128;
6/2/2025 4:01:01 AM;109;
6/2/2025 5:01:01 AM;62;
6/2/2025 6:01:01 AM;74;
6/2/2025 7:01:01 AM;92;
6/2/2025 8:01:01 AM;86;
6/2/2025 9:01:01 AM;147;
6/2/2025 10:01:01 AM;88;
6/2/2025 11:01:01 AM;114;
6/2/2025 12:01:03 PM;77;
6/2/2025 1:01:01 PM;64;
6/2/2025 2:01:01 PM;130;
6/2/2025 3:01:01 PM;106;
6/2/2025 4:01:05 PM;119;
6/2/2025 5:01:01 PM;132;
6/2/2025 6:01:01 PM;70;
6/2/2025 7:01:05 PM;127;
6/2/2025 8:01:01 PM;125;
6/2/2025 9:01:05 PM;110;
6/2/2025 10:01:01 PM;124;
6/2/2025 11:01:01 PM;131;
6/3/2025 12:01:02 AM;76;
6/3/2025 1:01:05 AM;85;
6/3/2025 2:01:01 AM;125;
6/3/2025 3:01:01 AM;126;
6/3/2025 4:01:03 AM;54;
6/3/2025 5:01:01 AM;77;
6/3/2025 6:01:01 AM;125;
6/3/2025 7:01:01 AM;91;
6/3/2025 8:01:01 AM;47;
6/3/2025 9:01:01 AM;88;
6/3/2025 10:01:03 AM;76;
6/3/2025 11:01:00 AM;107;
6/3/2025 12:01:01 PM;143;
6/3/2025 1:01:03 PM;86;
6/3/2025 2:01:05 PM;78;
6/3/2025 3:01:05 PM;87;
6/3/2025 4:01:00 PM;136;
6/3/2025 5:01:01 PM;60;
6/3/2025 6:01:01 PM;127;
6/3/2025 7:01:01 PM;42;
6/3/2025 8:01:06 PM;50;
6/3/2025 9:01:01 PM;147;
6/3/2025 10:01:05 PM;94;
6/3/2025 11:01:01 PM;29;
6/4/2025 12:01:01 AM;131;
6/4/2025 1:01:01 AM;126;
6/4/2025 2:01:05 AM;217;
6/4/2025 3:01:01 AM;73;
6/4/2025 4:01:01 AM;102;
6/4/2025 5:01:01 AM;53;
6/4/2025 6:01:01 AM;78;
6/4/2025 7:01:01 AM;101;
6/4/2025 8:01:01 AM;108;
6/4/2025 9:01:01 AM;113;
6/4/2025 10:01:07 AM;144;
6/4/2025 11:01:05 AM;67;
6/4/2025 12:01:01 PM;116;
6/4/2025 1:01:01 PM;62;
6/4/2025 2:01:01 PM;143;
6/4/2025 3:01:01 PM;101;
6/4/2025 4:01:05 PM;104;
6/4/2025 5:01:05 PM;154;
6/4/2025 6:01:01 PM;103;
6/4/2025 7:01:05 PM;73;
6/4/2025 8:01:05 PM;133;
6/4/2025 9:01:01 PM;121;
6/4/2025 10:01:01 PM;89;
6/4/2025 11:01:01 PM;77;
6/5/2025 12:01:03 AM;185;
6/5/2025 1:01:02 AM;155;
6/5/2025 2:01:01 AM;141;
6/5/2025 3:01:00 AM;46;
6/5/2025 4:01:01 AM;72;
6/5/2025 5:01:01 AM;65;
6/5/2025 6:01:01 AM;181;
6/5/2025 7:01:01 AM;67;
6/5/2025 8:01:01 AM;57;
6/5/2025 9:01:01 AM;144;
6/5/2025 10:01:01 AM;99;
6/5/2025 11:01:01 AM;122;
6/5/2025 12:01:01 PM;70;
6/5/2025 1:01:01 PM;130;
6/5/2025 2:01:01 PM;83;
6/5/2025 3:01:01 PM;62;
6/5/2025 4:01:01 PM;126;
6/5/2025 5:01:05 PM;75;
6/5/2025 6:01:01 PM;45;
6/5/2025 7:01:05 PM;63;
6/5/2025 8:01:05 PM;89;
6/5/2025 9:01:05 PM;58;
6/5/2025 10:01:05 PM;109;
6/5/2025 11:01:01 PM;90;
6/6/2025 12:01:05 AM;115;
6/6/2025 1:01:07 AM;95;
6/6/2025 2:01:01 AM;101;
6/6/2025 3:01:01 AM;91;
6/6/2025 4:01:02 AM;64;
6/6/2025 5:01:01 AM;130;
6/6/2025 6:01:00 AM;124;
6/6/2025 7:01:03 AM;139;
6/6/2025 8:01:01 AM;89;
6/6/2025 9:01:01 AM;127;
6/6/2025 10:01:05 AM;57;
6/6/2025 11:01:01 AM;48;
6/6/2025 12:01:01 PM;96;
6/6/2025 1:01:01 PM;73;
6/6/2025 2:01:05 PM;121;
6/6/2025 3:01:01 PM;130;
6/6/2025 4:01:01 PM;69;
6/6/2025 5:01:00 PM;103;
6/6/2025 6:01:01 PM;102;
6/6/2025 7:01:01 PM;105;
6/6/2025 8:01:01 PM;83;
6/6/2025 9:01:05 PM;72;
6/6/2025 10:01:02 PM;55;
6/6/2025 11:01:01 PM;113;
6/7/2025 12:01:00 AM;114;
6/7/2025 1:01:01 AM;108;
6/7/2025 2:01:05 AM;111;
6/7/2025 3:01:01 AM;64;
6/7/2025 4:01:02 AM;84;
6/7/2025 5:01:05 AM;111;
6/7/2025 6:01:05 AM;84;
6/7/2025 7:01:01 AM;120;
6/7/2025 8:01:01 AM;107;
6/7/2025 9:01:01 AM;112;
6/7/2025 10:01:01 AM;90;
6/7/2025 11:01:01 AM;101;
6/7/2025 12:01:01 PM;82;
6/7/2025 1:01:01 PM;77;
6/7/2025 2:01:00 PM;101;
6/7/2025 3:01:05 PM;80;
6/7/2025 4:01:05 PM;151;
6/7/2025 5:01:05 PM;96;
